identifiant;adresse;code_insee;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
IDF9500483;?;95427;;;;;;;;;;;;;
IDF7800693;rue ?;78269;48.626646;1.82313;Rue d'Orphin 78125 Gazeran;0.25;street;78269_XXXX_3ef2a2;;Rue d'Orphin;;78125;Gazeran;78, Yvelines, Île-de-France;78269
IDF9502535;Epiais, rue d';95154;49.043885;2.551808;Rue d'Épiais les Louvres 95380 Chennevières-lès-Louvres;0.42;street;95154_XXXX_c9f078;;Rue d'Épiais les Louvres;;95380;Chennevières-lès-Louvres;95, Val-d'Oise, Île-de-France;95154
IDF7800567;rue ?;78189;48.881404;1.924216;Rue de Paris 78121 Crespières;0.25;street;78189_0165_4b11e3;;Rue de Paris;;78121;Crespières;78, Yvelines, Île-de-France;78189
IDF9401642;Frileuse, 5 rue Frileuse;94037;48.810555;2.341989;5 Rue Fraysse 94250 Gentilly;0.29;housenumber;ADRNIVX_0000000270913749;5;Rue Fraysse;;94250;Gentilly;94, Val-de-Marne, Île-de-France;94037
IDF7706112;Paris, rue de;77317;48.604254;2.893775;Rue des Marais 77720 Mormant;0.47;street;77317_XXXX_b42a77;;Rue des Marais;;77720;Mormant;77, Seine-et-Marne, Île-de-France;77317
IDF7700295;RN 36;77222;;;;;;;;;;;;;
IDF7701507;Orgemont, rue d';77335;48.980248;2.841063;Rue Georges Frisez 77124 Chauconin-Neufmontiers;0.22;street;77335_0220_1032de;;Rue Georges Frisez;;77124;Chauconin-Neufmontiers;77, Seine-et-Marne, Île-de-France;77335
IDF7802157;?;78621;;;;;;;;;;;;;
IDF7800101;Vaucresson (route de);78043;48.836364;2.073707;Route de Fontenay 78870 Bailly;0.32;street;78043_XXXX_d84fb5;;Route de Fontenay;;78870;Bailly;78, Yvelines, Île-de-France;78043
IDF9101372;CR N° 4;91312;;;;;;;;;;;;;
IDF7702347;Moret, route de;77156;48.271849;2.734119;Route de Montereau 77140 Darvault;0.39;street;77156_XXXX_b23a3e;;Route de Montereau;;77140;Darvault;77, Seine-et-Marne, Île-de-France;77156
IDF9302910;RUFFINS (chemin des);93048;48.860955;2.473253;Rue des Ruffins 93100 Montreuil;0.43;street;93048_8281_dfcc03;;Rue des Ruffins;;93100;Montreuil;93, Seine-Saint-Denis, Île-de-France;93048
IDF9200133;Aigle, 9 rue de l';92012;48.83982;2.245107;9 Rue de l'Est 92100 Boulogne-Billancourt;0.5;housenumber;ADRNIVX_0000000287155879;9;Rue de l'Est;;92100;Boulogne-Billancourt;92, Hauts-de-Seine, Île-de-France;92012
IDF9201058;Lorraine, 126 boulevard de;92024;48.902566;2.318988;126 Boulevard Victor Hugo 92110 Clichy;0.4;housenumber;ADRNIVX_0000000287105681;126;Boulevard Victor Hugo;;92110;Clichy;92, Hauts-de-Seine, Île-de-France;92024
IDF9301162;MONTMORENCY (route de);93079;48.952389;2.337926;Route de Saint-Leu 93430 Villetaneuse;0.3;street;93079_XXXX_a8f717;;Route de Saint-Leu;;93430;Villetaneuse;93, Seine-Saint-Denis, Île-de-France;93079
IDF9400517;Hay, 54 rue de l'Hay;94037;48.813523;2.341441;Rue de Reims 94250 Gentilly;0.29;street;94037_8125_10ca43;;Rue de Reims;;94250;Gentilly;94, Val-de-Marne, Île-de-France;94037
IDF7705020;CD;77044;;;;;;;;;;;;;
IDF7703641;CD n°40;;51.012659;2.301127;Avenue René Carême 59760 Grande-Synthe;0.29;street;59271_XXXX_fe093d;;Avenue René Carême;;59760;Grande-Synthe;59, Nord, Hauts-de-France (Nord-Pas-de-Calais);59271
IDF7703877;Foch, 4 avenue maréchal;77382;48.902115;2.875626;Avenue du Maréchal Foch 77860 Quincy-Voisins;0.6;street;77382_XXXX_468c15;;Avenue du Maréchal Foch;;77860;Quincy-Voisins;77, Seine-et-Marne, Île-de-France;77382
IDF9501977;Gonesse, 1 route de;95585;48.990728;2.375243;1 Route de Garges 95200 Sarcelles;0.48;housenumber;ADRNIVX_0000000350612231;1;Route de Garges;;95200;Sarcelles;95, Val-d'Oise, Île-de-France;95585
IDF9401603;Frileuse, 71 rue Frileuse;94037;48.810402;2.342189;Rue Fraysse 94250 Gentilly;0.22;street;94037_3560_fd4aa3;;Rue Fraysse;;94250;Gentilly;94, Val-de-Marne, Île-de-France;94037
IDF9400506;Roncy, 110 route de Roncy;94033;48.853349;2.465507;110 Rue des Moulins 94120 Fontenay-sous-Bois;0.24;housenumber;ADRNIVX_0000000270856412;110;Rue des Moulins;;94120;Fontenay-sous-Bois;94, Val-de-Marne, Île-de-France;94033
IDF9401918;Bleuts, 2 avenue des Bleuts;94001;48.725909;2.42535;2 Avenue Georges Clemenceau 94480 Ablon-sur-Seine;0.25;housenumber;ADRNIVX_0000000271049929;2;Avenue Georges Clemenceau;;94480;Ablon-sur-Seine;94, Val-de-Marne, Île-de-France;94001
IDF9100944;Champrosay, Résidence de;91201;48.659093;2.422521;Rue du Bas de Champrosay 91210 Draveil;0.34;street;91201_0260_3eec99;;Rue du Bas de Champrosay;;91210;Draveil;91, Essonne, Île-de-France;91201
IDF9100969;Liberté, 22 rue de la;91201;48.684629;2.427115;22 Rue de la Galante 91210 Draveil;0.43;housenumber;ADRNIVX_0000000349387944;22;Rue de la Galante;;91210;Draveil;91, Essonne, Île-de-France;91201
IDF7700693;Portes de la Forêt, parc d'activités;77121;;;;;;;;;;;;;
IDF7706847;Porte du bois, parc d'activité;77121;;;;;;;;;;;;;
IDF9300697;POISSONNIERS (7 route des);93066;48.924054;2.342716;Route de la Révolte 93200 Saint-Denis;0.22;street;93066_XXXX_f7bd33;;Route de la Révolte;;93200;Saint-Denis;93, Seine-Saint-Denis, Île-de-France;93066
IDF9300698;CORNILLON (ZAC SUD);93066;48.918021;2.364962;Chemin du Cornillon 93210 Saint-Denis;0.33;street;93066_XXXX_994423;;Chemin du Cornillon;;93210;Saint-Denis;93, Seine-Saint-Denis, Île-de-France;93066
IDF9300699;CROIX PENCHEE (la);93066;48.945569;2.340948;FORT DE LA BRICHE 93200 Saint-Denis;0.22;street;93066_X180_8133fc;;FORT DE LA BRICHE;;93200;Saint-Denis;93, Seine-Saint-Denis, Île-de-France;93066
IDF9301818;BOIS MESURIER (le);93027;48.922002;2.414271;Rue Lavoisier 93120 La Courneuve;0.26;street;93027_5130_a0ad20;;Rue Lavoisier;;93120;La Courneuve;93, Seine-Saint-Denis, Île-de-France;93027
IDF9302908;BELFORT (32 boulevard de);93048;48.860368;2.439245;32 Boulevard Rouget de Lisle 93100 Montreuil;0.45;housenumber;ADRNIVX_0000000268331063;32;Boulevard Rouget de Lisle;;93100;Montreuil;93, Seine-Saint-Denis, Île-de-France;93048
